"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"Q80UW8","RPAB1_MOUSE","DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Mus musculus GN=Polr2e PE=2 SV=1 - [RPAB1_MOUSE]",3,5,5,9,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.507,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q80YR4-2","ZN598_MOUSE","Isoform 2 of Zinc finger protein 598 OS=Mus musculus GN=Znf598 - [ZN598_MOUSE]",3,8,5,10,"unknown","unknown","unknown","unknown","60S Ribosome",0.517,"60S Ribosome","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BGA9","OXA1L_MOUSE","Mitochondrial inner membrane protein OXA1L OS=Mus musculus GN=Oxa1l PE=2 SV=1 - [OXA1L_MOUSE]",3,4,5,7,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q8BIQ5","CSTF2_MOUSE","Cleavage stimulation factor subunit 2 OS=Mus musculus GN=Cstf2 PE=1 SV=2 - [CSTF2_MOUSE]",3,4,5,5,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.899,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BTV2-2","CPSF7_MOUSE","Isoform 2 of Cleavage and polyadenylation specificity factor subunit 7 OS=Mus musculus GN=Cpsf7 - [CPSF7_MOUSE]",3,6,5,8,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.901,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BTY2","S4A7_MOUSE","Sodium bicarbonate cotransporter 3 OS=Mus musculus GN=Slc4a7 PE=1 SV=2 - [S4A7_MOUSE]",3,6,5,10,"unknown","unknown","unknown","unknown","Plasma membrane",0.699,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8C0V0","TLK1_MOUSE","Serine/threonine-protein kinase tousled-like 1 OS=Mus musculus GN=Tlk1 PE=2 SV=2 - [TLK1_MOUSE]",3,2,5,3,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.697,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8C1E7","T120A_MOUSE","Transmembrane protein 120A OS=Mus musculus GN=Tmem120a PE=2 SV=1 - [T120A_MOUSE]",3,6,5,7,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.91,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q8CCH2","NHLC3_MOUSE","NHL repeat-containing protein 3 OS=Mus musculus GN=Nhlrc3 PE=2 SV=1 - [NHLC3_MOUSE]",3,4,5,5,"unknown","Phenotype 3","unknown","unknown","Lysosome",0.665,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CFZ4","GPC3_MOUSE","Glypican-3 OS=Mus musculus GN=Gpc3 PE=2 SV=1 - [GPC3_MOUSE]",3,2,5,2,"unknown","unknown","unknown","unknown","Lysosome",0.331,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8K396","MND1_MOUSE","Meiotic nuclear division protein 1 homolog OS=Mus musculus GN=Mnd1 PE=1 SV=1 - [MND1_MOUSE]",3,5,5,5,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.894,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8QZY9","SF3B4_MOUSE","Splicing factor 3B subunit 4 OS=Mus musculus GN=Sf3b4 PE=2 SV=1 - [SF3B4_MOUSE]",3,6,5,12,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.82,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8R3B7-2","BRD8_MOUSE","Isoform 2 of Bromodomain-containing protein 8 OS=Mus musculus GN=Brd8 - [BRD8_MOUSE]",3,5,5,5,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.912,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
"Q91WV0","NC2B_MOUSE","Protein Dr1 OS=Mus musculus GN=Dr1 PE=2 SV=1 - [NC2B_MOUSE]",3,1,5,2,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.664,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q924T2","RT02_MOUSE","28S ribosomal protein S2, mitochondrial OS=Mus musculus GN=Mrps2 PE=2 SV=1 - [RT02_MOUSE]",3,4,5,7,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q99J56","DERL1_MOUSE","Derlin-1 OS=Mus musculus GN=Derl1 PE=2 SV=1 - [DERL1_MOUSE]",3,3,5,8,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q99JT1","GATB_MOUSE","Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus GN=Pet112 PE=2 SV=1 - [GATB_MOUSE]",3,5,5,7,"unknown","Mitochondrion","unknown","unknown","Mitochondrion",0.976,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q99NB8","UBQL4_MOUSE","Ubiquilin-4 OS=Mus musculus GN=Ubqln4 PE=1 SV=1 - [UBQL4_MOUSE]",3,2,5,3,"unknown","unknown","unknown","unknown","Proteasome",0.157,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CPW7","ZMAT2_MOUSE","Zinc finger matrin-type protein 2 OS=Mus musculus GN=Zmat2 PE=2 SV=1 - [ZMAT2_MOUSE]",3,3,5,3,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.733,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CQ71","RFA3_MOUSE","Replication protein A 14 kDa subunit OS=Mus musculus GN=Rpa3 PE=2 SV=1 - [RFA3_MOUSE]",3,5,5,7,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.149,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"Q9CQI3","GMFB_MOUSE","Glia maturation factor beta OS=Mus musculus GN=Gmfb PE=1 SV=3 - [GMFB_MOUSE]",3,2,5,2,"unknown","unknown","unknown","unknown","Cytosol",0.71,"unknown","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CQW2","ARL8B_MOUSE","ADP-ribosylation factor-like protein 8B OS=Mus musculus GN=Arl8b PE=2 SV=1 - [ARL8B_MOUSE]",3,5,5,9,"unknown","Plasma membrane","unknown","unknown","Lysosome",0.703,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CR27","CCD53_MOUSE","WASH complex subunit CCDC53 OS=Mus musculus GN=Ccdc53 PE=2 SV=1 - [CCD53_MOUSE]",3,1,5,3,"unknown","unknown","unknown","unknown","Endosome",0.581,"Endosome","Endosome","Y","unknown","unknown","unknown","WASH complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CXC3","MGME1_MOUSE","Mitochondrial genome maintenance exonuclease 1 OS=Mus musculus GN=Mgme1 PE=2 SV=1 - [MGME1_MOUSE]",3,4,5,5,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q9D1M4","MCA3_MOUSE","Eukaryotic translation elongation factor 1 epsilon-1 OS=Mus musculus GN=Eef1e1 PE=2 SV=1 - [MCA3_MOUSE]",3,5,5,10,"unknown","unknown","unknown","unknown","Proteasome",0.682,"Proteasome","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D4V0","EKI1_MOUSE","Ethanolamine kinase 1 (Fragment) OS=Mus musculus GN=Etnk1 PE=2 SV=1 - [EKI1_MOUSE]",3,5,5,8,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.18,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9D898","ARP5L_MOUSE","Actin-related protein 2/3 complex subunit 5-like protein OS=Mus musculus GN=Arpc5l PE=1 SV=1 - [ARP5L_MOUSE]",3,3,5,4,"unknown","unknown","unknown","unknown","60S Ribosome",0.227,"unknown","unknown","N","unknown","Arp2/3 complex","unknown","Arp2/3 complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9DCF9-2","SSRG_MOUSE","Isoform 2 of Translocon-associated protein subunit gamma OS=Mus musculus GN=Ssr3 - [SSRG_MOUSE]",3,3,5,7,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.869,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9DCL8","IPP2_MOUSE","Protein phosphatase inhibitor 2 OS=Mus musculus GN=Ppp1r2 PE=1 SV=3 - [IPP2_MOUSE]",3,3,5,4,"unknown","unknown","unknown","unknown","Cytosol",0.872,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9ERH4","NUSAP_MOUSE","Nucleolar and spindle-associated protein 1 OS=Mus musculus GN=Nusap1 PE=1 SV=1 - [NUSAP_MOUSE]",3,6,5,6,"unknown","unknown","unknown","unknown","40S Ribosome",0.353,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9ES97-3","RTN3_MOUSE","Isoform 3 of Reticulon-3 OS=Mus musculus GN=Rtn3 - [RTN3_MOUSE]",3,2,5,2,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.518,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9EST5","AN32B_MOUSE","Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus GN=Anp32b PE=1 SV=1 - [AN32B_MOUSE]",3,5,5,8,"unknown","unknown","unknown","unknown","Proteasome",0.5,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9JKF6","PVRL1_MOUSE","Poliovirus receptor-related protein 1 OS=Mus musculus GN=Pvrl1 PE=1 SV=3 - [PVRL1_MOUSE]",3,3,5,6,"unknown","unknown","unknown","unknown","Plasma membrane",0.59,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9QY73","TMM59_MOUSE","Transmembrane protein 59 OS=Mus musculus GN=Tmem59 PE=1 SV=2 - [TMM59_MOUSE]",3,4,5,5,"unknown","unknown","unknown","unknown","Lysosome",0.818,"Lysosome","Lysosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9QYS9-4","QKI_MOUSE","Isoform 4 of Protein quaking OS=Mus musculus GN=Qki - [QKI_MOUSE]",3,4,5,7,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.893,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q9QZI9","SERC3_MOUSE","Serine incorporator 3 OS=Mus musculus GN=Serinc3 PE=1 SV=2 - [SERC3_MOUSE]",3,4,5,7,"unknown","unknown","unknown","unknown","Endosome",0.494,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9R1S0","B9D1_MOUSE","B9 domain-containing protein 1 OS=Mus musculus GN=B9d1 PE=1 SV=1 - [B9D1_MOUSE]",3,4,5,6,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.258,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9WVL0","MAAI_MOUSE","Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1 - [MAAI_MOUSE]",3,3,5,3,"unknown","unknown","unknown","unknown","Mitochondrion",0.281,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"A2BH40","ARI1A_MOUSE","AT-rich interactive domain-containing protein 1A OS=Mus musculus GN=Arid1a PE=1 SV=1 - [ARI1A_MOUSE]",3,1,4,1,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.603,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
"A2RTL5","RSRC2_MOUSE","Arginine/serine-rich coiled-coil protein 2 OS=Mus musculus GN=Rsrc2 PE=2 SV=1 - [RSRC2_MOUSE]",3,4,4,4,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.888,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"B0V2N1-4","PTPRS_MOUSE","Isoform 4 of Receptor-type tyrosine-protein phosphatase S OS=Mus musculus GN=Ptprs - [PTPRS_MOUSE]",3,9,4,10,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.652,"unknown","Plasma membrane","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O08583","THOC4_MOUSE","THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3 - [THOC4_MOUSE]",3,5,4,7,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.823,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","THO complex","unknown","unknown","unknown","unknown","unknown","unknown"
"O08734","BAK_MOUSE","Bcl-2 homologous antagonist/killer OS=Mus musculus GN=Bak1 PE=1 SV=2 - [BAK_MOUSE]",3,3,4,3,"unknown","Mitochondrion","unknown","unknown","Mitochondrion",0.967,"unknown","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O08989","RASM_MOUSE","Ras-related protein M-Ras OS=Mus musculus GN=Mras PE=1 SV=1 - [RASM_MOUSE]",3,4,4,5,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.763,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","RAS","unknown","unknown","unknown","unknown","unknown"
"O09111","NDUBB_MOUSE","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Mus musculus GN=Ndufb11 PE=1 SV=2 - [NDUBB_MOUSE]",3,5,4,8,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","NADH dehydrogenase","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"O09130","NF2IP_MOUSE","NFATC2-interacting protein OS=Mus musculus GN=Nfatc2ip PE=1 SV=1 - [NF2IP_MOUSE]",3,5,4,6,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.201,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O35127","C10_MOUSE","Protein C10 OS=Mus musculus GN=Grcc10 PE=2 SV=1 - [C10_MOUSE]",3,4,4,7,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.288,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O35623","BET1_MOUSE","BET1 homolog OS=Mus musculus GN=Bet1 PE=3 SV=1 - [BET1_MOUSE]",3,2,4,2,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.591,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O35710-2","NOCT_MOUSE","Isoform 2 of Nocturnin OS=Mus musculus GN=Ccrn4l - [NOCT_MOUSE]",3,1,4,2,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.193,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O54950","AAKG1_MOUSE","5'-AMP-activated protein kinase subunit gamma-1 OS=Mus musculus GN=Prkag1 PE=1 SV=2 - [AAKG1_MOUSE]",3,3,4,4,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.533,"Actin cytoskeleton","Actin cytoskeleton","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O55028","BCKD_MOUSE","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1 - [BCKD_MOUSE]",3,1,4,2,"unknown","unknown","unknown","unknown","Mitochondrion",0.96,"unknown","Mitochondrion","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O70281","TPST1_MOUSE","Protein-tyrosine sulfotransferase 1 OS=Mus musculus GN=Tpst1 PE=2 SV=1 - [TPST1_MOUSE]",3,2,4,3,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.605,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O88379","BAZ1A_MOUSE","Bromodomain adjacent to zinc finger domain protein 1A OS=Mus musculus GN=Baz1a PE=1 SV=3 - [BAZ1A_MOUSE]",3,3,4,4,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.864,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P26043;P26040;P26041","RADI_MOUSE","Radixin OS=Mus musculus GN=Rdx PE=1 SV=3 - [RADI_MOUSE]|Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3 - [EZRI_MOUSE]|Moesin OS=Mus musculus GN=Msn PE=1 SV=3 - [MOES_MOUSE]",3,1,4,1,"unknown","unknown","unknown","unknown","Plasma membrane",0.709,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P29037","TBP_MOUSE","TATA-box-binding protein OS=Mus musculus GN=Tbp PE=1 SV=1 - [TBP_MOUSE]",3,2,4,2,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.901,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","TAF complex","TAF complex","unknown","unknown","unknown","unknown","unknown","unknown"
"P32507-2","PVRL2_MOUSE","Isoform Alpha of Poliovirus receptor-related protein 2 OS=Mus musculus GN=Pvrl2 - [PVRL2_MOUSE]",3,2,4,2,"unknown","unknown","unknown","unknown","Plasma membrane",0.259,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P34884","MIF_MOUSE","Macrophage migration inhibitory factor OS=Mus musculus GN=Mif PE=1 SV=2 - [MIF_MOUSE]",3,2,4,3,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.857,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P35290","RAB24_MOUSE","Ras-related protein Rab-24 OS=Mus musculus GN=Rab24 PE=1 SV=2 - [RAB24_MOUSE]",3,4,4,4,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.707,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","Rab proteins","Rab proteins","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P41241","CSK_MOUSE","Tyrosine-protein kinase CSK OS=Mus musculus GN=Csk PE=1 SV=2 - [CSK_MOUSE]",3,5,4,6,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.271,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P51943","CCNA2_MOUSE","Cyclin-A2 OS=Mus musculus GN=Ccna2 PE=1 SV=2 - [CCNA2_MOUSE]",3,5,4,6,"unknown","unknown","unknown","unknown","60S Ribosome",0.224,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P52019","ERG1_MOUSE","Squalene monooxygenase OS=Mus musculus GN=Sqle PE=2 SV=1 - [ERG1_MOUSE]",3,4,4,7,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.883,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P52592","S1PR2_MOUSE","Sphingosine 1-phosphate receptor 2 OS=Mus musculus GN=S1pr2 PE=1 SV=3 - [S1PR2_MOUSE]",3,2,4,3,"unknown","unknown","unknown","unknown","Plasma membrane",0.436,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P53690","MMP14_MOUSE","Matrix metalloproteinase-14 OS=Mus musculus GN=Mmp14 PE=2 SV=3 - [MMP14_MOUSE]",3,4,4,5,"unknown","unknown","unknown","unknown","Plasma membrane",0.681,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P58404-2","STRN4_MOUSE","Isoform 2 of Striatin-4 OS=Mus musculus GN=Strn4 - [STRN4_MOUSE]",3,5,4,6,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.248,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P60904","DNJC5_MOUSE","DnaJ homolog subfamily C member 5 OS=Mus musculus GN=Dnajc5 PE=1 SV=1 - [DNJC5_MOUSE]",3,3,4,6,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.865,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P61028","RAB8B_MOUSE","Ras-related protein Rab-8B OS=Mus musculus GN=Rab8b PE=1 SV=1 - [RAB8B_MOUSE]",3,4,4,6,"unknown","unknown","unknown","unknown","Plasma membrane",0.339,"unknown","unknown","N","unknown","unknown","Rab proteins","Rab proteins","unknown","unknown","unknown","unknown","unknown","unknown"
"P61226;Q8BU31;Q80ZJ1","RAP2B_MOUSE","Ras-related protein Rap-2b OS=Mus musculus GN=Rap2b PE=1 SV=1 - [RAP2B_MOUSE]|Ras-related protein Rap-2c OS=Mus musculus GN=Rap2c PE=1 SV=1 - [RAP2C_MOUSE]|Ras-related protein Rap-2a OS=Mus musculus GN=Rap2a PE=1 SV=2 - [RAP2A_MOUSE]",3,1,4,1,"unknown","unknown","unknown","unknown","Plasma membrane",0.836,"Plasma membrane","Plasma membrane","N","unknown","unknown","Rab proteins","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P61600","NAA20_MOUSE","N-alpha-acetyltransferase 20 OS=Mus musculus GN=Naa20 PE=2 SV=1 - [NAA20_MOUSE]",3,2,4,3,"unknown","60S Ribosome","unknown","unknown","60S Ribosome",0.683,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P61620","S61A1_MOUSE","Protein transport protein Sec61 subunit alpha isoform 1 OS=Mus musculus GN=Sec61a1 PE=2 SV=2 - [S61A1_MOUSE]",3,4,4,7,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.916,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","Sec61 ER translocon","unknown","unknown","unknown","unknown","unknown","unknown"
"P63166","SUMO1_MOUSE","Small ubiquitin-related modifier 1 OS=Mus musculus GN=Sumo1 PE=1 SV=1 - [SUMO1_MOUSE]",3,2,4,2,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.51,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P70665","SIAE_MOUSE","Sialate O-acetylesterase OS=Mus musculus GN=Siae PE=2 SV=3 - [SIAE_MOUSE]",3,4,4,4,"unknown","Phenotype 3","Lysosome","Lysosome","Lysosome",1,"Lysosome","Lysosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Lysosome"
"P97447","FHL1_MOUSE","Four and a half LIM domains protein 1 OS=Mus musculus GN=Fhl1 PE=2 SV=3 - [FHL1_MOUSE]",3,2,4,2,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.308,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P97470","PP4C_MOUSE","Serine/threonine-protein phosphatase 4 catalytic subunit OS=Mus musculus GN=Ppp4c PE=1 SV=2 - [PP4C_MOUSE]",3,5,4,6,"unknown","unknown","unknown","unknown","Proteasome",0.782,"Proteasome","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P97477","AURKA_MOUSE","Aurora kinase A OS=Mus musculus GN=Aurka PE=1 SV=1 - [AURKA_MOUSE]",3,2,4,3,"unknown","unknown","unknown","unknown","60S Ribosome",0.401,"unknown","unknown","N","unknown","MTOC","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P97801","SMN_MOUSE","Survival motor neuron protein OS=Mus musculus GN=Smn1 PE=1 SV=1 - [SMN_MOUSE]",3,4,4,5,"unknown","unknown","unknown","unknown","40S Ribosome",0.532,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
